temp,RH
5.3,68
10.1,62
20.4,55
24.3,33
25.9,32
28,34
28,34
22.8,46
25,36
21.3,41
21.8,34
27.9,27
17,67
14.2,46
19.9,44
23.4,31
14.7,42
8.2,53
22.8,27
26.4,33
24.1,50
27.5,27
26.3,39
13.8,24
24.9,42
24.8,36
26.2,36
30.8,19
29.3,27
22.3,48
26.9,31
20.4,56
20.4,56
27.9,33
26.2,34
24.6,44
19.4,45
23.3,40
23.9,38
20.9,66
22.2,45
23.8,51
26.8,35
14.2,73
23.6,53
19.1,46
16.2,58
25.5,29
10.9,64
14.8,78
16.2,58
17.3,80
19.1,70
8.9,35
10.5,77
19.3,61
23.4,49
11.8,88
17.7,65
17.4,54
16.8,56
17.9,48
16.6,59
19.9,50
18.9,64
15.5,72
18.9,64
18.9,64
14.5,76
4.6,82
5.1,77
4.6,59
10.2,45
11.2,41
13.3,27
13.7,33
17.6,27
18,40
14.3,79
24.5,50
26.4,35
22.7,40
27.2,28
26.1,45
18.2,82
22.6,57
30.2,25
30.2,22
23.4,40
31,27
33.1,25
30.6,28
24.1,43
26.4,34
19.4,71
20.6,58
28.7,33
32.4,21
32.4,27
27.5,29
30.8,30
23.9,42
32.6,26
32.3,27
33.3,26
27.3,63
21.6,65
21.6,65
20.7,69
29.2,30
28.9,29
26.7,35
18.5,73
25.9,41
25.9,41
21.1,71
18.2,62
27.8,35
27.8,32
21.9,71
21.2,70
25.6,42
11.8,31
